homeName,awayName,outcome1,outcomeX,outcome2,outcomeOver,outcomeUnder,outcomeGG,outcomeNG,homeId,awayId
Roma,Como,1.92,3.3,3.9,2.0,1.69,1.82,1.85,16,4
Ac Milan,Lazio,2.1,3.3,3.3,1.68,2.03,1.58,2.18,0,11
Juventus,Hellas Verona,1.31,5.15,9.75,1.78,1.9,2.23,1.58,10,8
Cagliari,Genoa,2.42,2.87,3.15,2.38,1.49,1.96,1.72,3,7
Como,Pisa,1.6,3.6,5.6,1.84,1.83,1.86,1.81,4,15
Parma,Torino,3.35,3.0,2.24,2.05,1.66,1.8,1.87,14,18
Lecce,Ac Milan,4.6,3.55,1.8,1.82,1.85,1.74,1.94,12,0
Inter Milan,Cremonese,1.13,8.5,18.5,1.45,2.5,2.5,1.45,9,5
Hellas Verona,Bologna,5.4,3.3,1.69,2.12,1.62,2.01,1.69,8,2
Napoli,Fiorentina,1.53,3.7,6.4,2.08,1.64,2.07,1.65,13,6
Sassuolo,Roma,3.95,3.1,1.99,2.0,1.69,1.79,1.88,17,16
Juventus,Atalanta,2.63,2.91,2.8,1.95,1.73,1.72,1.97,10,1
Lazio,Udinese,1.74,3.35,4.8,1.91,1.77,1.79,1.89,11,19
Genoa,Lecce,2.08,2.93,4.3,2.41,1.49,2.05,1.67,7,12
Udinese,Hellas Verona,1.77,3.45,4.95,2.12,1.63,2.0,1.71,19,8
Cremonese,Parma,3.05,3.25,2.37,1.86,1.83,1.66,2.07,5,14
Ac Milan,Como,1.75,3.75,4.4,1.58,2.15,1.55,2.22,0,4
Torino,Sassuolo,1.9,3.3,4.6,2.11,1.64,1.93,1.76,18,17
Pisa,Napoli,7.6,4.25,1.45,1.94,1.75,2.16,1.61,15,13
Bologna,Lazio,2.29,2.97,3.55,2.19,1.59,1.88,1.8,2,11
Roma,Cagliari,1.5,4.2,6.8,1.84,1.86,1.98,1.74,16,3
Fiorentina,Juventus,3.3,3.05,2.35,2.11,1.65,1.82,1.88,6,10
Atalanta,Inter Milan,2.6,3.25,2.8,1.87,1.83,1.66,2.09,1,9
Pisa,Bologna,4.75,3.4,1.74,2.07,1.68,1.96,1.76,15,2
Como,Sassuolo,1.68,3.6,5.4,1.88,1.79,1.81,1.86,4,17
Juventus,Genoa,1.51,3.65,7.0,2.22,1.56,2.33,1.51,10,7
Lecce,Roma,4.8,3.45,1.71,2.05,1.66,1.96,1.73,12,16
